NAME,STUSAB,SUMLEV,REGION,DIVISION,STATE,COUNTY,AREALAND,AREAWATR,POP100,HU100,INTPTLAT,INTPTLON,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010047,P0010063,P0010070,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020028,P0020049,P0020065,P0020072,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030026,P0030047,P0030063,P0030070,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040028,P0040049,P0040065,P0040072,H0010001,H0010002,H0010003,,,,,,,,,,,,
Union County,GA,50.00,3.00,5.00,13.00,291.00,833785120.00,18333198.00,21356.00,14052.00,+34.8337696,-83.99,21356.00,21102.00,20668.00,99.00,72.00,75.00,4.00,184.00,254.00,246.00,16.00,171.00,39.00,3.00,16.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,21356.00,519.00,20837.00,20598.00,20345.00,95.00,66.00,75.00,4.00,13.00,239.00,231.00,8.00,0.00,0.00,0.00,17563.00,17385.00,17064.00,77.00,58.00,58.00,3.00,125.00,178.00,173.00,5.00,0.00,0.00,0.00,17563.00,347.00,17216.00,17046.00,16853.00,75.00,52.00,58.00,3.00,5.00,170.00,165.00,5.00,0.00,0.00,0.00,14052.00,9116.00,4936.00,,,,,,,,,,,,
Upson County,GA,50.00,3.00,5.00,13.00,293.00,837697129.00,10663300.00,27153.00,12161.00,+32.8818366,-84.29,27153.00,26818.00,18693.00,7590.00,76.00,127.00,9.00,323.00,335.00,320.00,131.00,100.00,33.00,1.00,33.00,9.00,9.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,12.00,0.00,3.00,0.00,27153.00,588.00,26565.00,26273.00,18522.00,7544.00,61.00,124.00,3.00,19.00,292.00,286.00,3.00,0.00,3.00,0.00,20736.00,20576.00,14671.00,5538.00,63.00,96.00,6.00,202.00,160.00,152.00,6.00,0.00,2.00,0.00,20736.00,375.00,20361.00,20229.00,14562.00,5513.00,51.00,93.00,2.00,8.00,132.00,129.00,1.00,0.00,2.00,0.00,12161.00,10716.00,1445.00,,,,,,,,,,,,
Walker County,GA,50.00,3.00,5.00,13.00,295.00,1156117093.00,1672680.00,68756.00,30100.00,+34.7358269,-85.31,68756.00,67677.00,63918.00,2829.00,182.00,297.00,30.00,421.00,1079.00,1040.00,427.00,373.00,75.00,14.00,109.00,7.00,4.00,0.00,5.00,4.00,0.00,4.00,5.00,7.00,6.00,38.00,1.00,0.00,0.00,68756.00,1113.00,67643.00,66696.00,63343.00,2809.00,170.00,291.00,30.00,53.00,947.00,911.00,35.00,1.00,0.00,0.00,52500.00,51998.00,49212.00,2127.00,150.00,229.00,23.00,257.00,502.00,487.00,15.00,0.00,0.00,0.00,52500.00,673.00,51827.00,51390.00,48872.00,2112.00,142.00,225.00,23.00,16.00,437.00,424.00,13.00,0.00,0.00,0.00,30100.00,26497.00,3603.00,,,,,,,,,,,,
Walton County,GA,50.00,3.00,5.00,13.00,297.00,843508113.00,11187622.00,83768.00,32435.00,+33.7826485,-83.73,83768.00,82517.00,67057.00,13103.00,222.00,956.00,48.00,1131.00,1251.00,1166.00,437.00,248.00,195.00,12.00,104.00,34.00,24.00,20.00,27.00,3.00,2.00,17.00,3.00,21.00,19.00,81.00,4.00,0.00,0.00,83768.00,2683.00,81085.00,80008.00,65677.00,12993.00,194.00,947.00,38.00,159.00,1077.00,1006.00,67.00,4.00,0.00,0.00,61180.00,60616.00,50186.00,8918.00,158.00,658.00,36.00,660.00,564.00,526.00,35.00,3.00,0.00,0.00,61180.00,1619.00,59561.00,59086.00,49336.00,8859.00,141.00,650.00,28.00,72.00,475.00,441.00,31.00,3.00,0.00,0.00,32435.00,29583.00,2852.00,,,,,,,,,,,,
Ware County,GA,50.00,3.00,5.00,13.00,299.00,2311462171.00,40215551.00,36312.00,16326.00,+31.0508810,-82.42,36312.00,35779.00,24103.00,10721.00,120.00,279.00,13.00,543.00,533.00,508.00,229.00,122.00,43.00,10.00,39.00,21.00,8.00,1.00,14.00,8.00,0.00,0.00,0.00,9.00,4.00,25.00,0.00,0.00,0.00,36312.00,1207.00,35105.00,34662.00,23583.00,10662.00,97.00,278.00,7.00,35.00,443.00,426.00,17.00,0.00,0.00,0.00,27755.00,27513.00,19073.00,7772.00,97.00,218.00,8.00,345.00,242.00,235.00,7.00,0.00,0.00,0.00,27755.00,764.00,26991.00,26798.00,18749.00,7737.00,82.00,217.00,4.00,9.00,193.00,187.00,6.00,0.00,0.00,0.00,16326.00,13654.00,2672.00,,,,,,,,,,,,
Warren County,GA,50.00,3.00,5.00,13.00,301.00,736328597.00,6189505.00,5834.00,2985.00,+33.4191691,-82.69,5834.00,5798.00,2152.00,3602.00,10.00,22.00,0.00,12.00,36.00,35.00,15.00,7.00,1.00,1.00,5.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,5834.00,54.00,5780.00,5749.00,2133.00,3584.00,9.00,21.00,0.00,2.00,31.00,30.00,1.00,0.00,0.00,0.00,4461.00,4446.00,1831.00,2583.00,7.00,17.00,0.00,8.00,15.00,14.00,1.00,0.00,0.00,0.00,4461.00,36.00,4425.00,4410.00,1815.00,2572.00,7.00,16.00,0.00,0.00,15.00,14.00,1.00,0.00,0.00,0.00,2985.00,2315.00,670.00,,,,,,,,,,,,
Washington County,GA,50.00,3.00,5.00,13.00,303.00,1757182927.00,15290061.00,21187.00,9047.00,+32.9718477,-82.80,21187.00,20977.00,9531.00,11173.00,25.00,104.00,1.00,143.00,210.00,202.00,92.00,23.00,9.00,0.00,21.00,15.00,12.00,5.00,18.00,0.00,0.00,1.00,0.00,6.00,0.00,8.00,0.00,0.00,0.00,21187.00,407.00,20780.00,20613.00,9339.00,11124.00,19.00,104.00,1.00,26.00,167.00,160.00,7.00,0.00,0.00,0.00,16141.00,16054.00,7647.00,8231.00,21.00,74.00,1.00,80.00,87.00,84.00,3.00,0.00,0.00,0.00,16141.00,299.00,15842.00,15773.00,7477.00,8195.00,19.00,74.00,1.00,7.00,69.00,67.00,2.00,0.00,0.00,0.00,9047.00,7547.00,1500.00,,,,,,,,,,,,
Wayne County,GA,50.00,3.00,5.00,13.00,305.00,1662194319.00,18179669.00,30099.00,12199.00,+31.5478449,-81.91,30099.00,29497.00,22558.00,5996.00,127.00,161.00,6.00,649.00,602.00,572.00,217.00,131.00,51.00,1.00,93.00,30.00,9.00,2.00,19.00,3.00,0.00,7.00,0.00,4.00,5.00,25.00,2.00,3.00,0.00,30099.00,1719.00,28380.00,27937.00,21749.00,5928.00,82.00,160.00,6.00,12.00,443.00,422.00,19.00,1.00,1.00,0.00,22638.00,22338.00,17233.00,4442.00,98.00,126.00,6.00,433.00,300.00,286.00,11.00,2.00,1.00,0.00,22638.00,1181.00,21457.00,21250.00,16655.00,4387.00,71.00,125.00,6.00,6.00,207.00,199.00,7.00,1.00,0.00,0.00,12199.00,10562.00,1637.00,,,,,,,,,,,,
Webster County,GA,50.00,3.00,5.00,13.00,307.00,541613654.00,2965859.00,2799.00,1523.00,+32.0465538,-84.55,2799.00,2770.00,1512.00,1185.00,0.00,7.00,0.00,66.00,29.00,24.00,11.00,6.00,1.00,0.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,2799.00,98.00,2701.00,2677.00,1492.00,1177.00,0.00,7.00,0.00,1.00,24.00,21.00,3.00,0.00,0.00,0.00,2089.00,2078.00,1182.00,859.00,0.00,4.00,0.00,33.00,11.00,9.00,2.00,0.00,0.00,0.00,2089.00,49.00,2040.00,2032.00,1173.00,855.00,0.00,4.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1523.00,1119.00,404.00,,,,,,,,,,,,
Wheeler County,GA,50.00,3.00,5.00,13.00,309.00,765301286.00,12390103.00,7421.00,2625.00,+32.1092760,-82.74,7421.00,7364.00,4552.00,2614.00,6.00,16.00,2.00,174.00,57.00,54.00,24.00,19.00,4.00,0.00,1.00,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,7421.00,356.00,7065.00,7011.00,4405.00,2582.00,6.00,16.00,0.00,2.00,54.00,51.00,2.00,1.00,0.00,0.00,6022.00,5990.00,3671.00,2204.00,6.00,10.00,1.00,98.00,32.00,30.00,1.00,1.00,0.00,0.00,6022.00,253.00,5769.00,5738.00,3548.00,2174.00,6.00,10.00,0.00,0.00,31.00,29.00,1.00,1.00,0.00,0.00,2625.00,2152.00,473.00,,,,,,,,,,,,
White County,GA,50.00,3.00,5.00,13.00,311.00,623374958.00,3939977.00,27144.00,16062.00,+34.6436773,-83.74,27144.00,26775.00,25824.00,457.00,131.00,124.00,9.00,230.00,369.00,357.00,97.00,185.00,17.00,3.00,39.00,1.00,0.00,1.00,2.00,0.00,0.00,3.00,8.00,1.00,0.00,12.00,0.00,0.00,0.00,27144.00,647.00,26497.00,26172.00,25453.00,454.00,120.00,124.00,9.00,12.00,325.00,314.00,11.00,0.00,0.00,0.00,20944.00,20749.00,20068.00,355.00,104.00,82.00,5.00,135.00,195.00,186.00,9.00,0.00,0.00,0.00,20944.00,370.00,20574.00,20393.00,19852.00,354.00,97.00,82.00,5.00,3.00,181.00,173.00,8.00,0.00,0.00,0.00,16062.00,10646.00,5416.00,,,,,,,,,,,,
Whitfield County,GA,50.00,3.00,5.00,13.00,313.00,752297142.00,1530155.00,102599.00,39899.00,+34.8017261,-84.97,102599.00,99955.00,78623.00,3845.00,658.00,1330.00,70.00,15429.00,2644.00,2572.00,545.00,359.00,173.00,31.00,1230.00,19.00,10.00,9.00,50.00,13.00,2.00,49.00,1.00,58.00,23.00,67.00,0.00,5.00,0.00,102599.00,32471.00,70128.00,69046.00,63818.00,3631.00,180.00,1292.00,29.00,96.00,1082.00,1046.00,34.00,0.00,2.00,0.00,73316.00,72000.00,58787.00,2887.00,408.00,908.00,41.00,8969.00,1316.00,1274.00,40.00,0.00,2.00,0.00,73316.00,18717.00,54599.00,54089.00,50242.00,2772.00,131.00,888.00,16.00,40.00,510.00,484.00,24.00,0.00,2.00,0.00,39899.00,35180.00,4719.00,,,,,,,,,,,,
Wilcox County,GA,50.00,3.00,5.00,13.00,315.00,978250169.00,11444222.00,9255.00,3510.00,+31.9627168,-83.44,9255.00,9166.00,5706.00,3252.00,16.00,42.00,1.00,149.00,89.00,89.00,22.00,20.00,0.00,1.00,13.00,28.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,9255.00,338.00,8917.00,8846.00,5544.00,3233.00,15.00,41.00,1.00,12.00,71.00,71.00,0.00,0.00,0.00,0.00,7468.00,7406.00,4597.00,2655.00,10.00,34.00,1.00,109.00,62.00,62.00,0.00,0.00,0.00,0.00,7468.00,261.00,7207.00,7156.00,4470.00,2639.00,9.00,34.00,1.00,3.00,51.00,51.00,0.00,0.00,0.00,0.00,3510.00,2891.00,619.00,,,,,,,,,,,,
Wilkes County,GA,50.00,3.00,5.00,13.00,317.00,1215973866.00,11924803.00,10593.00,5158.00,+33.7790400,-82.75,10593.00,10439.00,5616.00,4535.00,18.00,52.00,1.00,217.00,154.00,148.00,85.00,32.00,9.00,1.00,6.00,7.00,4.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,10593.00,361.00,10232.00,10088.00,5495.00,4516.00,14.00,48.00,1.00,14.00,144.00,138.00,6.00,0.00,0.00,0.00,8237.00,8181.00,4571.00,3427.00,16.00,34.00,1.00,132.00,56.00,51.00,5.00,0.00,0.00,0.00,8237.00,218.00,8019.00,7966.00,4505.00,3412.00,12.00,32.00,1.00,4.00,53.00,48.00,5.00,0.00,0.00,0.00,5158.00,4263.00,895.00,,,,,,,,,,,,
Wilkinson County,GA,50.00,3.00,5.00,13.00,319.00,1158522024.00,12022592.00,9563.00,4487.00,+32.8043209,-83.18,9563.00,9458.00,5598.00,3672.00,29.00,31.00,1.00,127.00,105.00,104.00,38.00,32.00,15.00,1.00,6.00,3.00,2.00,3.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,9563.00,214.00,9349.00,9259.00,5529.00,3664.00,20.00,31.00,1.00,14.00,90.00,89.00,1.00,0.00,0.00,0.00,7239.00,7190.00,4382.00,2682.00,23.00,23.00,1.00,79.00,49.00,48.00,1.00,0.00,0.00,0.00,7239.00,137.00,7102.00,7061.00,4340.00,2675.00,18.00,23.00,1.00,4.00,41.00,40.00,1.00,0.00,0.00,0.00,4487.00,3666.00,821.00,,,,,,,,,,,,
Worth County,GA,50.00,3.00,5.00,13.00,321.00,1478111101.00,10498400.00,21679.00,9251.00,+31.5517733,-83.85,21679.00,21446.00,15232.00,5978.00,58.00,74.00,6.00,98.00,233.00,227.00,81.00,56.00,22.00,1.00,13.00,17.00,3.00,0.00,7.00,4.00,0.00,0.00,0.00,20.00,3.00,6.00,0.00,0.00,0.00,21679.00,335.00,21344.00,21133.00,15044.00,5951.00,48.00,74.00,4.00,12.00,211.00,205.00,6.00,0.00,0.00,0.00,16336.00,16212.00,11816.00,4222.00,49.00,55.00,6.00,64.00,124.00,121.00,3.00,0.00,0.00,0.00,16336.00,217.00,16119.00,16008.00,11699.00,4199.00,44.00,55.00,4.00,7.00,111.00,108.00,3.00,0.00,0.00,0.00,9251.00,8214.00,1037.00,,,,,,,,,,,,
Hawaii County,HI,50.00,4.00,9.00,15.00,1.00,10433550395.00,2739470816.00,185079.00,82324.00,+19.5977643,-155.50,185079.00,130544.00,62348.00,1020.00,869.00,41050.00,22389.00,2868.00,54535.00,34223.00,509.00,2147.00,8918.00,7534.00,474.00,111.00,124.00,138.00,30.00,221.00,280.00,31.00,12860.00,515.00,331.00,17997.00,2160.00,141.00,14.00,185079.00,21383.00,163696.00,120155.00,57831.00,899.00,586.00,39588.00,20970.00,281.00,43541.00,28476.00,13861.00,1131.00,65.00,8.00,142799.00,109813.00,55028.00,846.00,735.00,35452.00,15592.00,2160.00,32986.00,22908.00,9208.00,811.00,54.00,5.00,142799.00,12999.00,129800.00,102134.00,51590.00,758.00,491.00,34311.00,14779.00,205.00,27666.00,19630.00,7543.00,463.00,28.00,2.00,82324.00,67096.00,15228.00,,,,,,,,,,,,
Honolulu County,HI,50.00,4.00,9.00,15.00,3.00,1555917151.00,3955760999.00,953207.00,336899.00,+21.4613641,-158.20,953207.00,740171.00,198732.00,19256.00,2438.00,418410.00,90878.00,10457.00,213036.00,137633.00,2868.00,4075.00,47609.00,23481.00,2196.00,630.00,2400.00,1489.00,347.00,900.00,725.00,136.00,46461.00,3166.00,1150.00,67300.00,7438.00,649.00,16.00,953207.00,77433.00,875774.00,698853.00,181684.00,17929.00,1699.00,410019.00,86235.00,1287.00,176921.00,118377.00,53960.00,4272.00,299.00,13.00,742707.00,611873.00,169467.00,14853.00,2000.00,353807.00,63543.00,8203.00,130834.00,90074.00,37408.00,3140.00,208.00,4.00,742707.00,48734.00,693973.00,581468.00,156627.00,14011.00,1383.00,347621.00,60890.00,936.00,112505.00,79157.00,31322.00,1915.00,107.00,4.00,336899.00,311047.00,25852.00,,,,,,,,,,,,
Kalawao County,HI,50.00,4.00,9.00,15.00,5.00,31057797.00,105769512.00,90.00,113.00,+21.2187644,-156.97,90.00,76.00,24.00,0.00,0.00,7.00,44.00,1.00,14.00,12.00,0.00,0.00,4.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,90.00,1.00,89.00,75.00,24.00,0.00,0.00,7.00,44.00,0.00,14.00,12.00,2.00,0.00,0.00,0.00,90.00,76.00,24.00,0.00,0.00,7.00,44.00,1.00,14.00,12.00,2.00,0.00,0.00,0.00,90.00,1.00,89.00,75.00,24.00,0.00,0.00,7.00,44.00,0.00,14.00,12.00,2.00,0.00,0.00,0.00,113.00,69.00,44.00,,,,,,,,,,,,
Kauai County,HI,50.00,4.00,9.00,15.00,7.00,1605678326.00,1674176401.00,67091.00,29793.00,+22.0120383,-159.71,67091.00,50375.00,22159.00,278.00,254.00,21016.00,6060.00,608.00,16716.00,11026.00,120.00,569.00,3640.00,2062.00,201.00,35.00,57.00,46.00,1.00,86.00,81.00,15.00,3769.00,263.00,81.00,5156.00,516.00,18.00,0.00,67091.00,6315.00,60776.00,47113.00,20611.00,258.00,158.00,20296.00,5716.00,74.00,13663.00,9221.00,4123.00,308.00,11.00,0.00,51868.00,42064.00,19144.00,224.00,212.00,17679.00,4336.00,469.00,9804.00,7023.00,2582.00,192.00,7.00,0.00,51868.00,4008.00,47860.00,39602.00,17967.00,208.00,127.00,17118.00,4129.00,53.00,8258.00,5982.00,2144.00,127.00,5.00,0.00,29793.00,23240.00,6553.00,,,,,,,,,,,,
Maui County,HI,50.00,4.00,9.00,15.00,9.00,3008326306.00,3203316730.00,154834.00,70379.00,+20.8559306,-156.60,154834.00,118506.00,53336.00,870.00,603.00,44595.00,16051.00,3051.00,36328.00,24095.00,386.00,1141.00,6285.00,4824.00,523.00,58.00,113.00,136.00,8.00,136.00,147.00,33.00,9512.00,556.00,237.00,11104.00,1053.00,75.00,1.00,154834.00,15710.00,139124.00,109278.00,49193.00,818.00,380.00,43384.00,15257.00,246.00,29846.00,20450.00,8742.00,615.00,38.00,1.00,119019.00,97578.00,46339.00,726.00,507.00,36476.00,11313.00,2217.00,21441.00,15594.00,5399.00,418.00,29.00,1.00,119019.00,9832.00,109187.00,90866.00,43322.00,685.00,322.00,35516.00,10852.00,169.00,18321.00,13548.00,4504.00,251.00,17.00,1.00,70379.00,53886.00,16493.00,,,,,,,,,,,,
Ada County,ID,50.00,4.00,8.00,16.00,1.00,2726158067.00,20424656.00,392365.00,159471.00,+43.4478606,-116.24,392365.00,381195.00,354347.00,4441.00,2610.00,9407.00,861.00,9529.00,11170.00,10449.00,1607.00,2668.00,3412.00,375.00,1730.00,74.00,70.00,12.00,56.00,86.00,11.00,62.00,143.00,113.00,30.00,674.00,36.00,11.00,0.00,392365.00,27905.00,364460.00,356126.00,339332.00,4180.00,2058.00,9234.00,817.00,505.00,8334.00,7858.00,450.00,19.00,7.00,0.00,288659.00,283140.00,264610.00,2778.00,1953.00,6934.00,612.00,6253.00,5519.00,5219.00,274.00,15.00,11.00,0.00,288659.00,17049.00,271610.00,267318.00,255367.00,2633.00,1605.00,6839.00,584.00,290.00,4292.00,4074.00,201.00,10.00,7.00,0.00,159471.00,148445.00,11026.00,,,,,,,,,,,,
Adams County,ID,50.00,4.00,8.00,16.00,3.00,3530298662.00,17392424.00,3976.00,2636.00,+44.8845828,-116.43,3976.00,3909.00,3821.00,5.00,39.00,16.00,2.00,26.00,67.00,65.00,2.00,47.00,4.00,2.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,3976.00,94.00,3882.00,3828.00,3768.00,4.00,36.00,16.00,2.00,2.00,54.00,52.00,2.00,0.00,0.00,0.00,3213.00,3172.00,3102.00,4.00,36.00,9.00,2.00,19.00,41.00,40.00,1.00,0.00,0.00,0.00,3213.00,60.00,3153.00,3119.00,3069.00,3.00,34.00,9.00,2.00,2.00,34.00,33.00,1.00,0.00,0.00,0.00,2636.00,1748.00,888.00,,,,,,,,,,,,
Bannock County,ID,50.00,4.00,8.00,16.00,5.00,2880035137.00,91800788.00,82839.00,33191.00,+42.6929385,-112.23,82839.00,80633.00,74401.00,625.00,2619.00,1079.00,188.00,1721.00,2206.00,2062.00,287.00,638.00,427.00,122.00,430.00,36.00,18.00,0.00,18.00,7.00,5.00,45.00,13.00,10.00,6.00,122.00,19.00,3.00,0.00,82839.00,5587.00,77252.00,75757.00,71566.00,591.00,2301.00,1060.00,170.00,69.00,1495.00,1402.00,75.00,15.00,3.00,0.00,60125.00,59103.00,54667.00,473.00,1742.00,861.00,126.00,1234.00,1022.00,956.00,50.00,13.00,3.00,0.00,60125.00,3330.00,56795.00,56050.00,53018.00,452.00,1558.00,850.00,118.00,54.00,745.00,698.00,35.00,9.00,3.00,0.00,33191.00,30682.00,2509.00,,,,,,,,,,,,
Bear Lake County,ID,50.00,4.00,8.00,16.00,7.00,2524680722.00,193273897.00,5986.00,3914.00,+42.2858329,-111.33,5986.00,5922.00,5767.00,6.00,29.00,22.00,1.00,97.00,64.00,63.00,2.00,27.00,13.00,1.00,15.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,5986.00,216.00,5770.00,5726.00,5671.00,6.00,21.00,22.00,1.00,5.00,44.00,43.00,1.00,0.00,0.00,0.00,4350.00,4313.00,4217.00,3.00,19.00,15.00,1.00,58.00,37.00,37.00,0.00,0.00,0.00,0.00,4350.00,117.00,4233.00,4204.00,4166.00,3.00,17.00,15.00,1.00,2.00,29.00,29.00,0.00,0.00,0.00,0.00,3914.00,2281.00,1633.00,,,,,,,,,,,,
Benewah County,ID,50.00,4.00,8.00,16.00,9.00,2011429331.00,18988295.00,9285.00,4629.00,+47.2184513,-116.63,9285.00,8953.00,8039.00,28.00,809.00,27.00,6.00,44.00,332.00,313.00,7.00,250.00,13.00,8.00,8.00,23.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,0.00,0.00,12.00,7.00,0.00,0.00,9285.00,235.00,9050.00,8746.00,7919.00,25.00,765.00,27.00,6.00,4.00,304.00,290.00,7.00,7.00,0.00,0.00,7084.00,6909.00,6312.00,13.00,528.00,20.00,4.00,32.00,175.00,170.00,3.00,2.00,0.00,0.00,7084.00,128.00,6956.00,6788.00,6245.00,11.00,504.00,20.00,4.00,4.00,168.00,165.00,1.00,2.00,0.00,0.00,4629.00,3837.00,792.00,,,,,,,,,,,,
Bingham County,ID,50.00,4.00,8.00,16.00,11.00,5423378296.00,68447717.00,45607.00,16141.00,+43.2163568,-112.40,45607.00,44628.00,36752.00,105.00,2970.00,285.00,36.00,4480.00,979.00,922.00,59.00,304.00,161.00,29.00,243.00,24.00,2.00,0.00,7.00,11.00,5.00,52.00,7.00,16.00,2.00,45.00,12.00,0.00,0.00,45607.00,7864.00,37743.00,37195.00,34176.00,78.00,2560.00,268.00,32.00,81.00,548.00,529.00,16.00,3.00,0.00,0.00,30559.00,30104.00,25225.00,37.00,1882.00,220.00,22.00,2718.00,455.00,433.00,19.00,3.00,0.00,0.00,30559.00,4499.00,26060.00,25798.00,23815.00,26.00,1691.00,216.00,21.00,29.00,262.00,258.00,4.00,0.00,0.00,0.00,16141.00,14999.00,1142.00,,,,,,,,,,,,
Blaine County,ID,50.00,4.00,8.00,16.00,13.00,6846856430.00,44340529.00,21376.00,15050.00,+43.3944816,-113.96,21376.00,21050.00,18157.00,39.00,125.00,183.00,16.00,2530.00,326.00,303.00,22.00,64.00,55.00,11.00,129.00,1.00,0.00,0.00,2.00,0.00,0.00,7.00,4.00,5.00,3.00,23.00,0.00,0.00,0.00,21376.00,4272.00,17104.00,16941.00,16669.00,23.00,44.00,174.00,14.00,17.00,163.00,160.00,3.00,0.00,0.00,0.00,16173.00,15968.00,14106.00,19.00,84.00,138.00,11.00,1610.00,205.00,189.00,16.00,0.00,0.00,0.00,16173.00,2666.00,13507.00,13407.00,13208.00,11.00,34.00,132.00,9.00,13.00,100.00,97.00,3.00,0.00,0.00,0.00,15050.00,8823.00,6227.00,,,,,,,,,,,,
Boise County,ID,50.00,4.00,8.00,16.00,15.00,4919000288.00,19293275.00,7028.00,5292.00,+43.9872749,-115.72,7028.00,6865.00,6703.00,15.00,55.00,29.00,5.00,58.00,163.00,159.00,4.00,104.00,10.00,13.00,20.00,0.00,4.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,7028.00,249.00,6779.00,6644.00,6552.00,13.00,45.00,29.00,5.00,0.00,135.00,131.00,4.00,0.00,0.00,0.00,5519.00,5420.00,5301.00,7.00,44.00,26.00,4.00,38.00,99.00,96.00,3.00,0.00,0.00,0.00,5519.00,146.00,5373.00,5287.00,5215.00,6.00,36.00,26.00,4.00,0.00,86.00,83.00,3.00,0.00,0.00,0.00,5292.00,2974.00,2318.00,,,,,,,,,,,,
Bonner County,ID,50.00,4.00,8.00,16.00,17.00,4492523343.00,478955717.00,40877.00,24669.00,+48.3125124,-116.60,40877.00,40023.00,39261.00,58.00,315.00,184.00,42.00,163.00,854.00,810.00,80.00,496.00,160.00,18.00,45.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,6.00,1.00,0.00,42.00,1.00,1.00,0.00,40877.00,911.00,39966.00,39199.00,38606.00,51.00,290.00,177.00,40.00,35.00,767.00,729.00,38.00,0.00,0.00,0.00,32027.00,31536.00,30965.00,32.00,248.00,144.00,30.00,117.00,491.00,466.00,24.00,0.00,1.00,0.00,32027.00,541.00,31486.00,31034.00,30571.00,29.00,233.00,141.00,30.00,30.00,452.00,430.00,22.00,0.00,0.00,0.00,24669.00,17100.00,7569.00,,,,,,,,,,,,
Bonneville County,ID,50.00,4.00,8.00,16.00,19.00,4833116989.00,89506629.00,104234.00,39731.00,+43.3951708,-111.62,104234.00,102062.00,94411.00,585.00,790.00,856.00,86.00,5334.00,2172.00,2076.00,334.00,706.00,404.00,87.00,439.00,11.00,9.00,1.00,9.00,7.00,9.00,23.00,7.00,26.00,4.00,95.00,1.00,0.00,0.00,104234.00,11912.00,92322.00,90953.00,88873.00,533.00,554.00,841.00,81.00,71.00,1369.00,1297.00,71.00,1.00,0.00,0.00,71440.00,70546.00,65692.00,357.00,524.00,665.00,62.00,3246.00,894.00,851.00,42.00,1.00,0.00,0.00,71440.00,6662.00,64778.00,64197.00,62723.00,327.00,387.00,656.00,57.00,47.00,581.00,547.00,33.00,1.00,0.00,0.00,39731.00,36629.00,3102.00,,,,,,,,,,,,
Boundary County,ID,50.00,4.00,8.00,16.00,21.00,3285556291.00,24081041.00,10972.00,5175.00,+48.7730651,-116.52,10972.00,10742.00,10398.00,29.00,189.00,62.00,6.00,58.00,230.00,214.00,32.00,118.00,35.00,11.00,12.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,15.00,1.00,0.00,0.00,10972.00,402.00,10570.00,10374.00,10110.00,29.00,167.00,56.00,6.00,6.00,196.00,183.00,13.00,0.00,0.00,0.00,8160.00,8026.00,7803.00,13.00,123.00,47.00,3.00,37.00,134.00,122.00,11.00,1.00,0.00,0.00,8160.00,241.00,7919.00,7806.00,7636.00,13.00,109.00,42.00,3.00,3.00,113.00,103.00,10.00,0.00,0.00,0.00,5175.00,4421.00,754.00,,,,,,,,,,,,
