NAME,STUSAB,SUMLEV,REGION,DIVISION,STATE,COUNTY,AREALAND,AREAWATR,POP100,HU100,INTPTLAT,INTPTLON,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010047,P0010063,P0010070,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020028,P0020049,P0020065,P0020072,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030026,P0030047,P0030063,P0030070,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040028,P0040049,P0040065,P0040072,H0010001,H0010002,H0010003,,,,,,,,,,,,
Chilton County,AL,50.00,3.00,6.00,1.00,21.00,1794483586.00,20586383.00,43643.00,19278.00,+32.8540595,-86.73,43643.00,43137.00,36713.00,4230.00,155.00,130.00,55.00,1854.00,506.00,487.00,158.00,142.00,44.00,5.00,97.00,10.00,6.00,5.00,5.00,0.00,0.00,10.00,1.00,1.00,3.00,19.00,0.00,0.00,0.00,43643.00,3420.00,40223.00,39870.00,35395.00,4171.00,134.00,125.00,11.00,34.00,353.00,345.00,8.00,0.00,0.00,0.00,32683.00,32442.00,28046.00,2991.00,114.00,97.00,42.00,1152.00,241.00,234.00,7.00,0.00,0.00,0.00,32683.00,2098.00,30585.00,30421.00,27246.00,2953.00,105.00,94.00,9.00,14.00,164.00,162.00,2.00,0.00,0.00,0.00,19278.00,16558.00,2720.00,,,,,,,,,,,,
Choctaw County,AL,50.00,3.00,6.00,1.00,23.00,2365954748.00,19059251.00,13859.00,7269.00,+31.9910082,-88.25,13859.00,13801.00,7731.00,6012.00,18.00,12.00,0.00,28.00,58.00,52.00,22.00,8.00,7.00,0.00,1.00,10.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,13859.00,73.00,13786.00,13730.00,7700.00,5990.00,18.00,12.00,0.00,10.00,56.00,50.00,6.00,0.00,0.00,0.00,10718.00,10685.00,6083.00,4562.00,16.00,9.00,0.00,15.00,33.00,30.00,3.00,0.00,0.00,0.00,10718.00,55.00,10663.00,10631.00,6058.00,4543.00,16.00,9.00,0.00,5.00,32.00,29.00,3.00,0.00,0.00,0.00,7269.00,5866.00,1403.00,,,,,,,,,,,,
Clarke County,AL,50.00,3.00,6.00,1.00,25.00,3207609488.00,36542656.00,25833.00,12638.00,+31.6855211,-87.82,25833.00,25657.00,14070.00,11336.00,103.00,77.00,4.00,67.00,176.00,157.00,53.00,45.00,11.00,1.00,11.00,18.00,5.00,3.00,9.00,0.00,0.00,0.00,0.00,1.00,0.00,15.00,4.00,0.00,0.00,25833.00,271.00,25562.00,25406.00,13943.00,11280.00,96.00,74.00,4.00,9.00,156.00,144.00,12.00,0.00,0.00,0.00,19444.00,19351.00,11056.00,8123.00,69.00,54.00,2.00,47.00,93.00,83.00,10.00,0.00,0.00,0.00,19444.00,183.00,19261.00,19177.00,10965.00,8089.00,63.00,51.00,2.00,7.00,84.00,75.00,9.00,0.00,0.00,0.00,12638.00,10337.00,2301.00,,,,,,,,,,,,
Clay County,AL,50.00,3.00,6.00,1.00,27.00,1564252280.00,5284628.00,13932.00,6776.00,+33.2678085,-85.86,13932.00,13697.00,11380.00,2066.00,55.00,24.00,0.00,172.00,235.00,227.00,86.00,98.00,6.00,2.00,19.00,10.00,0.00,2.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,13932.00,399.00,13533.00,13317.00,11186.00,2048.00,55.00,23.00,0.00,5.00,216.00,208.00,8.00,0.00,0.00,0.00,10788.00,10683.00,8966.00,1528.00,46.00,19.00,0.00,124.00,105.00,101.00,4.00,0.00,0.00,0.00,10788.00,261.00,10527.00,10430.00,8849.00,1516.00,46.00,18.00,0.00,1.00,97.00,93.00,4.00,0.00,0.00,0.00,6776.00,5670.00,1106.00,,,,,,,,,,,,
Cleburne County,AL,50.00,3.00,6.00,1.00,29.00,1450652767.00,2365681.00,14972.00,6718.00,+33.6719810,-85.52,14972.00,14812.00,14079.00,498.00,51.00,23.00,10.00,151.00,160.00,156.00,59.00,57.00,18.00,0.00,15.00,0.00,1.00,0.00,1.00,4.00,0.00,1.00,0.00,0.00,0.00,2.00,1.00,1.00,0.00,14972.00,307.00,14665.00,14528.00,13956.00,494.00,50.00,23.00,1.00,4.00,137.00,135.00,0.00,1.00,1.00,0.00,11421.00,11356.00,10820.00,379.00,41.00,16.00,9.00,91.00,65.00,63.00,0.00,1.00,1.00,0.00,11421.00,185.00,11236.00,11176.00,10740.00,377.00,40.00,16.00,0.00,3.00,60.00,58.00,0.00,1.00,1.00,0.00,6718.00,5891.00,827.00,,,,,,,,,,,,
Coffee County,AL,50.00,3.00,6.00,1.00,31.00,1758528786.00,3944730.00,49948.00,22330.00,+31.4021833,-85.99,49948.00,48701.00,37330.00,8359.00,645.00,644.00,100.00,1623.00,1247.00,1144.00,284.00,398.00,218.00,18.00,111.00,28.00,30.00,3.00,21.00,11.00,1.00,4.00,8.00,3.00,6.00,99.00,4.00,0.00,0.00,49948.00,3180.00,46768.00,45725.00,36134.00,8257.00,602.00,629.00,51.00,52.00,1043.00,967.00,74.00,2.00,0.00,0.00,37864.00,37257.00,29045.00,6090.00,470.00,526.00,74.00,1052.00,607.00,559.00,46.00,2.00,0.00,0.00,37864.00,2007.00,35857.00,35330.00,28288.00,6025.00,439.00,517.00,40.00,21.00,527.00,487.00,39.00,1.00,0.00,0.00,22330.00,19849.00,2481.00,,,,,,,,,,,,
Colbert County,AL,50.00,3.00,6.00,1.00,33.00,1534877333.00,76430813.00,54428.00,25758.00,+34.7031120,-87.80,54428.00,53583.00,43789.00,8768.00,267.00,229.00,20.00,510.00,845.00,813.00,316.00,330.00,51.00,8.00,55.00,20.00,16.00,0.00,14.00,0.00,0.00,2.00,0.00,1.00,0.00,31.00,1.00,0.00,0.00,54428.00,1093.00,53335.00,52571.00,43334.00,8702.00,262.00,224.00,14.00,35.00,764.00,747.00,16.00,1.00,0.00,0.00,42394.00,41986.00,34706.00,6598.00,204.00,166.00,10.00,302.00,408.00,395.00,12.00,1.00,0.00,0.00,42394.00,643.00,41751.00,41377.00,34433.00,6565.00,200.00,163.00,7.00,9.00,374.00,366.00,7.00,1.00,0.00,0.00,25758.00,22773.00,2985.00,,,,,,,,,,,,
Conecuh County,AL,50.00,3.00,6.00,1.00,35.00,2201894769.00,6644940.00,13228.00,7093.00,+31.4282925,-86.99,13228.00,13096.00,6788.00,6149.00,44.00,17.00,1.00,97.00,132.00,122.00,38.00,43.00,8.00,0.00,10.00,9.00,9.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,13228.00,161.00,13067.00,12953.00,6764.00,6122.00,44.00,17.00,0.00,6.00,114.00,110.00,4.00,0.00,0.00,0.00,10186.00,10112.00,5578.00,4410.00,34.00,17.00,0.00,73.00,74.00,68.00,3.00,0.00,3.00,0.00,10186.00,113.00,10073.00,10006.00,5562.00,4391.00,34.00,17.00,0.00,2.00,67.00,65.00,2.00,0.00,0.00,0.00,7093.00,5625.00,1468.00,,,,,,,,,,,,
Coosa County,AL,50.00,3.00,6.00,1.00,37.00,1685891075.00,39946646.00,11539.00,6478.00,+32.9314453,-86.24,11539.00,11436.00,7648.00,3582.00,40.00,16.00,15.00,135.00,103.00,100.00,24.00,40.00,6.00,1.00,11.00,12.00,0.00,1.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,11539.00,230.00,11309.00,11221.00,7604.00,3556.00,40.00,14.00,0.00,7.00,88.00,86.00,2.00,0.00,0.00,0.00,9169.00,9100.00,6216.00,2734.00,33.00,14.00,9.00,94.00,69.00,67.00,2.00,0.00,0.00,0.00,9169.00,164.00,9005.00,8946.00,6181.00,2719.00,33.00,12.00,0.00,1.00,59.00,58.00,1.00,0.00,0.00,0.00,6478.00,4794.00,1684.00,,,,,,,,,,,,
Covington County,AL,50.00,3.00,6.00,1.00,39.00,2668869505.00,34526309.00,37765.00,18829.00,+31.2439873,-86.45,37765.00,37243.00,32022.00,4716.00,214.00,155.00,1.00,135.00,522.00,508.00,204.00,217.00,36.00,1.00,28.00,11.00,0.00,0.00,4.00,2.00,1.00,2.00,0.00,2.00,0.00,13.00,1.00,0.00,0.00,37765.00,483.00,37282.00,36794.00,31751.00,4685.00,196.00,148.00,1.00,13.00,488.00,475.00,12.00,1.00,0.00,0.00,29242.00,28999.00,25296.00,3335.00,161.00,116.00,1.00,90.00,243.00,234.00,9.00,0.00,0.00,0.00,29242.00,325.00,28917.00,28688.00,25110.00,3317.00,150.00,109.00,1.00,1.00,229.00,221.00,8.00,0.00,0.00,0.00,18829.00,15531.00,3298.00,,,,,,,,,,,,
